Brewery,Address,zipcode,PhoneNumber,YelpRating,NumReviews,lat,lng,url,PopDensity,Population Density,LANDSQMI,MedianIncome,Median Income
Sweet Taters,"1121 Falls Rd, Rocky Mount, NC 27804",27804,-5826,4.5,14,35.9588899,-77.80089,https://www.yelp.com/biz/sweet-taters-rocky-mount?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,688,42.3,44,44282
Claim 52 Brewing,"1030 Tyinn St, Eugene, OR 97402",97402,-7880,4.5,14,44.0488167,-123.1369247,https://www.yelp.com/biz/claim-52-brewing-eugene?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,729,69.1,38,38414
The Uptown Barrel Room,"2011 Main St, Vancouver, WA 98660",98660,-8563,3.5,14,45.63716,-122.67112,https://www.yelp.com/biz/the-uptown-barrel-room-vancouver?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,794,14.9,38,38014
Core Brewing & Distilling Co.,"2470 Lowell Rd, Springdale, AR 72764",72764,-5150,4.5,14,36.2061996,-94.1345673,https://www.yelp.com/biz/core-brewing-and-distilling-co-springdale?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,807,62.3,38,37637
RJ Rockers,"226A W Main St, Spartanburg, SC 29306",29306,-3785,4.5,14,34.9486839,-81.9358536,https://www.yelp.com/biz/rj-rockers-spartanburg?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,834,19,27,26656
Monocacy Brewing Company,"1781 N Market St, Frederick, MD 21701",21701,-4928,4,14,39.4400681,-77.398527,https://www.yelp.com/biz/monocacy-brewing-company-frederick?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,907,38.9,73,72646
Pareidolia Brewing Company,"482 US Hwy 1, Sebastian, FL 32958",32958,-1686,4.5,14,27.8074995,-80.4654118,https://www.yelp.com/biz/pareidolia-brewing-company-sebastian?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,911,27.8,43,42633
Funk Brewing Company,"19th S 6th St, Emmaus, PA 18049",18049,-9300,4.5,14,40.533429,-75.494336,https://www.yelp.com/biz/funk-brewing-company-emmaus?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1156,15,64,63636
Caston & Main Brew Yard,"5010 S Main St, Akron, OH 44319",44319,-3486,4.5,14,40.95408385,-81.53346153,https://www.yelp.com/biz/caston-and-main-brew-yard-akron?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1208,18.8,55,54834
Broomtail Craft Brewery,"6404 Amsterdam Way, Wilmington, NC 28405",28405,-2542,5,14,34.25972,-77.84678,https://www.yelp.com/biz/broomtail-craft-brewery-wilmington?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1211,24.1,52,51580
Full Spectrum Brewing,"2168 Carolina Place Pkwy, Fort Mill, SC 29708",29708,-6150,4.5,14,35.03705,-80.9614299,https://www.yelp.com/biz/full-spectrum-brewing-fort-mill?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1317,19,94,94463
Bricktown Brewery,"1 Remington Pl, Oklahoma City, OK 73111",73111,-5272,3.5,14,35.52957,-97.46924,https://www.yelp.com/biz/bricktown-brewery-oklahoma-city-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1367,8.6,22,22185
Gulf Coast Brewery,"500 E Heinberg St, Pensacola, FL 32502",32502,-3880,4.5,14,30.41839,-87.2044,https://www.yelp.com/biz/gulf-coast-brewery-pensacola?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1432,2.3,35,34981
Twelve String Brewing,"11616 E Montgomery Dr, Spokane, WA 99206",99206,-4446,4,14,47.6770096,-117.2479248,https://www.yelp.com/biz/twelve-string-brewing-spokane?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,1487,23.4,49,49491
Friendship Brewing Company,"100 E Pitman Ave, Wentzville, MO 63385",63385,-10791,5,13,38.81064,-90.85127,https://www.yelp.com/biz/friendship-brewing-company-wentzville-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,533,67,72,72207
Maltese Brewing Co,"11047 Pierson Dr, Fredericksburg, VA 22408",22408,NA,4.5,13,38.2610699,-77.43696,https://www.yelp.com/biz/maltese-brewing-co-fredericksburg?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,585,45.9,85,84551
Nivol Brewing,"483 Richard Jackson Blvd, Panama City Beach, FL 32407",32407,-2248,5,13,30.18647385,-85.81626657,https://www.yelp.com/biz/nivol-brewing-panama-city-beach?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,674,13.9,51,51328
Southwest parkway market,"4601 Southwest Pkwy, Austin, TX 78735",78735,-3130,4.5,13,30.23945405,-97.83180088,https://www.yelp.com/biz/southwest-parkway-market-austin-2?adjust_creative=o8DW2hHiSdQ7YpkFIQfVSA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=o8DW2hHiSdQ7YpkFIQfVSA,1,785,20.6,80,79984
